Species,Indiv,Proximal,LE.Middle,LE.Distal,LE.Proximal,M1.Middle,M1.Distal,M1.Proximal,M2.Middle,M2.Distal,M2.Proximal,TE.Middle,TE.Distal
Gomphosus varius,1,1.1701,0.2256,0.0566,0.8054,0.1459,0.0261,0.1832,0.0577,0.0128,0.0709,0.0188,0.0039
Gomphosus varius,2,1.1202,0.1134,0.0197,0.4194,0.1103,0.022,0.1223,0.0438,0.0137,0.0148,0.0062,0.0032
Gomphosus varius,3,1.5109,0.2159,0.018,1.1901,0.1733,0.015,0.3655,0.0161,0.0004,0.1008,0.0178,0.0034
Gomphosus varius,4,1.155,0.21,0.0327,0.5434,0.0865,0.0204,0.1829,0.0432,0.0106,0.0524,0.0359,0.0266
Gomphosus varius,5,0.4891,0.1651,0.0166,0.3264,0.114,0.0333,0.4662,0.0467,0.0072,0.0869,0.01,0.0001
Gomphosus varius,6,0.4884,0.1108,0.014,0.337,0.0653,0.014,0.1287,0.0362,0.0083,0.0178,0.0049,0.001
Gomphosus varius,7,0.2956,0.0705,0.012,0.1474,0.0373,0.0117,0.1018,0.0375,0.0113,0.0099,0.0025,0.0009
Gomphosus varius,Mean,0.8899,0.1588,0.0242,0.5385,0.1047,0.0203,0.2215,0.0402,0.0092,0.0505,0.0137,0.0056
Gomphosus varius,s.d.,0.4587,0.0613,0.0158,0.3532,0.0465,0.0076,0.1393,0.0127,0.0045,0.0371,0.0116,0.0094
Halichoeres bivittatus ,1,0.0979,0.0337,0.0092,0.0456,0.0095,0.0035,0.0201,0.0083,0.0021,0.0065,0.0031,0.0013
Halichoeres bivittatus ,2,0.0308,0.0157,0.0073,0.012,0.0046,0.0021,0.0065,0.0047,0.001,0.0064,0.0019,0.0004
Halichoeres bivittatus ,3,0.0884,0.026,0.006,0.0304,0.0072,0.0022,0.0232,0.0098,0.0026,0.0064,0.0013,0.0004
Halichoeres bivittatus ,4,0.0992,0.0493,0.0148,0.0448,0.0194,0.0075,0.0118,0.0096,0.0078,0.0169,0.0081,0.0032
Halichoeres bivittatus ,5,0.1264,0.0449,0.0196,0.0683,0.0344,0.0195,0.0393,0.0185,0.0069,0.004,0.0029,0.0023
Halichoeres bivittatus ,6,0.1461,0.0416,0.0044,0.0693,0.0199,0.0044,0.0152,0.0079,0.0044,0.0031,0.0021,0.0015
Halichoeres bivittatus ,7,0.2421,0.0791,0.0218,0.2053,0.0412,0.0091,0.1891,0.0389,0.0052,0.0146,0.0081,0.0042
Halichoeres bivittatus ,8,0.5058,0.2504,0.1333,0.3966,0.1795,0.0626,0.2458,0.0486,0.0142,0.0299,0.0081,0.0025
Halichoeres bivittatus ,Mean ,0.1671,0.0676,0.0271,0.109,0.0395,0.0139,0.0689,0.0183,0.0055,0.011,0.0045,0.002
Halichoeres bivittatus ,s.d. ,0.1496,0.0762,0.0434,0.1304,0.058,0.0205,0.0934,0.0164,0.0042,0.0091,0.0031,0.0013