species,location.desc,strain.pct,E.MPa
coho,anterior,5,1.140486157
coho,anterior,10,1.626520771
coho,anterior,15,2.214878461
coho,midlateral,5,1.03816308
coho,midlateral,10,1.575359232
coho,midlateral,15,2.24045923
coho,posterior,5,2.573009229
coho,posterior,10,4.875278451
coho,posterior,15,7.007009212
pompano,anterior,5,2.700913074
pompano,anterior,10,5.122559219
pompano,anterior,15,9.147266897
pompano,midlateral,5,3.519497687
pompano,midlateral,10,8.405424592
pompano,midlateral,15,14.1440438
pompano,posterior,5,10.63095151
pompano,posterior,10,42.20614754
pompano,posterior,15,57.37554364
snapper,anterior,5,3.340432303
snapper,anterior,10,3.655928455
snapper,anterior,15,4.986128451
snapper,midlateral,5,3.174157303
snapper,midlateral,10,4.653578452
snapper,midlateral,15,6.358963061
snapper,posterior,5,9.530978434
snapper,posterior,10,15.65330918
snapper,posterior,15,23.28490531