vertebra,I.mm4,len.ivj.mm,Lbody.mm
1,8.336784893,1.733,360
2,8.644769637,1.976,360
3,8.774716141,2.106,360
4,8.941774533,1.797,360
5,9.079571628,1.922,360
6,9.074136603,1.721,360
7,8.936778702,2.155,360
8,8.713393689,2.048,360
9,8.762803006,1.613,360
10,8.777186607,1.669,360
11,8.585478456,2.344,360
12,8.347325548,1.982,360
13,8.210955832,1.932,360
14,7.843350512,1.602,360
15,7.835939115,1.828,360
16,7.612114908,1.982,360
17,7.52367223,1.285,360
18,7.329383815,1.808,360
19,7.102210755,1.479,360
20,7.060212835,1.321,360
21,6.844074522,1.513,360
22,6.595765253,1.59,360
23,6.214819418,1.215,360