frequency,curvature,EI1
2,1.171102662,1.64232E-05
2,1.399239544,2.09336E-05
2,2.340304183,6.70962E-05
2,2.539923954,7.04328E-05
2,2.768060837,8.69181E-05
2,2.539923954,1.6691E-05
2,2.825095057,4.77702E-05
2,3.024714829,5.01458E-05
2,3.072243346,5.01458E-05
2,3.281368821,5.17947E-05
2,3.347908745,5.26395E-05
2,3.509505703,0.000153113
2,3.813688213,0.000166012
2,4.155893536,0.00020821
2,4.16539924,0.000112596
2,4.231939163,0.000109011
2,4.52661597,0.000109011
2,4.593155894,0.000112596
2,4.935361217,0.000116298
2,5.001901141,0.000118195
0.25,1.171102662,9.78661E-06
0.25,1.399239544,6.02365E-06
0.25,1.513307985,6.3232E-06
0.25,1.646387833,6.63765E-06
0.25,2.349809886,3.80887E-05
0.25,2.539923954,3.99828E-05
0.25,2.787072243,2.42145E-05
0.25,2.825095057,2.34436E-05
0.25,2.996197719,2.42145E-05
0.25,3.072243346,2.58332E-05
0.25,2.539923954,9.32299E-06
0.25,3.300380228,2.62545E-05
0.25,3.357414449,2.75601E-05
0.25,3.509505703,8.69181E-05
0.25,3.813688213,9.73398E-05
0.25,4.155893536,0.000143519
0.25,4.136882129,5.3498E-05
0.25,4.231939163,5.26395E-05
0.25,4.517110266,5.52572E-05
0.25,4.6121673,5.80051E-05
0.25,4.935361217,5.99125E-05
0.25,5.011406844,6.28919E-05