frequency,curvature,etaI1
2,1.172248804,3.63E-07
2,1.401913876,2.42E-07
2,1.526315789,2.11E-07
2,1.669856459,3.02E-07
2,2.339712919,5.44E-07
2,2.540669856,2.11E-07
2,2.789473684,2.72E-07
2,2.818181818,3.93E-07
2,2.770334928,6.95E-07
2,3.019138756,2.72E-07
2,3.076555024,3.32E-07
2,3.28708134,4.23E-07
2,3.344497608,6.04E-07
2,3.507177033,9.97E-07
2,3.813397129,1.08761E-06
2,4.148325359,5.14E-07
2,4.224880383,7.25E-07
2,4.511961722,3.63E-07
2,4.598086124,3.93E-07
2,4.923444976,4.23E-07
2,5,7.25E-07
0.25,1.172248804,2.3565E-06
0.25,1.392344498,1.8429E-06
0.25,1.401913876,2.41692E-06
0.25,1.421052632,2.44713E-06
0.25,1.535885167,1.66163E-06
0.25,1.516746411,1.41994E-06
0.25,1.650717703,1.60121E-06
0.25,1.669856459,3.02115E-06
0.25,2.349282297,3.92749E-06
0.25,2.550239234,3.74622E-06
0.25,2.779904306,4.22961E-06
0.25,2.80861244,5.13595E-06
0.25,2.770334928,5.37764E-06
0.25,2.540669856,2.14502E-06
0.25,3.009569378,2.99094E-06
0.25,3.057416268,3.50453E-06
0.25,3.28708134,3.53474E-06
0.25,3.33492823,6.16314E-06
0.25,3.507177033,6.73716E-06
0.25,3.803827751,7.34139E-06
0.25,4.157894737,5.07553E-06
0.25,4.215311005,8.18731E-06
0.25,4.157894737,9.66767E-06
0.25,4.511961722,5.61934E-06
0.25,4.588516746,5.43807E-06
0.25,5,9.84894E-06
0.25,4.923444976,5.67976E-06