fish,beamlen.mm,EI.Nm2
fish13,2.003430532,3.19E-09
fish13,2.295025729,2.77E-09
fish13,2.80102916,3.35E-09
fish13,3.30703259,4.20E-09
fish13,3.804459691,4.14E-09
fish13,5.005145798,2.61E-09
fish12,1.291595197,1.90E-09
fish12,1.703259005,2.81E-09
fish12,2.295025729,4.28E-09
fish12,3.006861063,4.37E-09
fish12,3.504288165,3.57E-09
fish12,5.005145798,2.30E-09
fish5,2.097770154,3.23E-09
fish5,2.80102916,3.56E-09
fish5,3.401372213,3.09E-09
fish5,4.104631218,2.79E-09
fish5,4.404802744,2.54E-09
fish5,4.507718696,2.46E-09
fish4,1.403087479,1.50E-09
fish4,2.106346484,2.81E-09
fish4,2.809605489,3.97E-09
fish4,3.607204117,4.15E-09
fish4,4.404802744,3.92E-09
fish4,5.408233276,3.07E-09
fish11,1.703259005,9.34E-10
fish11,2.295025729,1.49E-09
fish11,2.895368782,1.86E-09
fish11,3.504288165,2.04E-09
fish11,4.250428816,1.72E-09
fish11,4.704974271,1.54E-09