fish,beamlen.mm,E.MPa
fish13,2.299019608,5.713592233
fish13,2.004901961,6.466019417
fish13,2.797385621,7.218446602
fish13,3.303921569,9.669902913
fish13,3.802287582,10.34951456
fish13,5.003267974,7.995145631
fish12,1.294117647,3.796116505
fish12,1.702614379,5.640776699
fish12,2.307189542,8.77184466
fish12,3.001633987,9.621359223
fish12,3.5,8.504854369
fish12,5.003267974,7.072815534
fish5,1.400326797,2.995145631
fish5,2.094771242,5.713592233
fish5,2.797385621,8.529126214
fish5,3.60620915,9.985436893
fish5,4.406862745,10.93203883
fish5,5.403594771,9.839805825
fish4,2.102941176,6.587378641
fish4,2.797385621,7.655339806
fish4,3.401960784,7.218446602
fish4,4.104575163,7.36407767
fish4,4.406862745,7.097087379
fish4,4.504901961,6.975728155
fish11,1.702614379,1.878640777
fish11,2.299019608,3.067961165
fish11,2.903594771,4.038834951
fish11,3.5,4.839805825
fish11,4.251633987,4.669902913
fish11,4.700980392,4.548543689