Fin,RayLength.mm,EI.Nmm2
Pectoral,12.56227758,0.048543689
Pectoral,14.12811388,0.067961165
Pectoral,19.3594306,0.145631068
Pectoral,22.38434164,0.184466019
Pectoral,24.48398577,0.174757282
Pectoral,25.90747331,0.233009709
Pectoral,27.36654804,0.223300971
Pelvic,25.76512456,2.213592233
Pelvic,26.79715302,3.67961165
Dorsal soft,10.10676157,0.067961165
Dorsal soft,13.20284698,0.13592233
Dorsal soft,15.72953737,0.203883495
Dorsal soft,18.82562278,0.359223301
Dorsal soft,20.53380783,0.466019417
Dorsal soft,21.77935943,0.553398058
Dorsal soft,22.56227758,1.194174757
Caudal,24.09252669,0.786407767
Caudal,25.33807829,0.766990291
Caudal,27.79359431,1.155339806
Caudal,27.93594306,0.932038835
Caudal,28.32740214,0.941747573
Caudal,29.46619217,1.466019417
Caudal,29.64412811,1.300970874
Caudal,30.14234875,1.106796117
Caudal,31.60142349,1.446601942
Anal,11.81494662,0.126213592
Anal,16.72597865,0.281553398
Anal,20.85409253,0.640776699
Anal,24.19928826,1.883495146